disorder;disorder_OMIM;disorder_cat;symptom;symptom_cat;gene_symb;gene_OMIM;gene_cytoloc
periventricular nodular heterotopia;608097;congenital nervous system abnormality;periventricular gray matter heterotopia;Gray matter heterotopias;ARFGEF2, BIG2, PVNH2;605371;20q13.13
periventricular nodular heterotopia;615544;congenital nervous system abnormality;hypsarrhythmia;EEG with generalized epileptiform discharges;ERMARD, C6orf70, PVNH6;615532;6q27
peroxisomal acyl-CoA oxidase deficiency;264470;peroxisomal disease;cognitive impairment;Abnormality of higher mental function;ACOX1, ACOX, SCOX;609751;17q25.1
persistent fetal circulation syndrome;265380;pulmonary hypertension;duodenal stenosis;Small intestinal stenosis;FOXF1, FKHL5, ACDMPV;601089;16q24.1
persistent hyperplastic primary vitreous;221900;vitreous disease;pendular nystagmus;Nystagmus;ATOH7, PHPVAR, NCRNA;609875;10q21.3
persistent mullerian duct syndrome;261550;pseudohermaphroditism;bilateral cryptorchidism;Cryptorchidism;AMH, MIF;600957;19p13.3
persistent mullerian duct syndrome;261550;pseudohermaphroditism;bilateral cryptorchidism;Cryptorchidism;AMHR2, AMHR;600956;12q13.13
phaeochromocytoma;171300;cell type benign neoplasm;positive regitine blocking test;Hypertension associated with pheochromocytoma;GDNF, HSCR3;600837;5p13.2
phaeochromocytoma;171300;cell type benign neoplasm;positive regitine blocking test;Hypertension associated with pheochromocytoma;KIF1B, CMT2A, CMT2A1, NBLST1;605995;1p36.22
phaeochromocytoma;171300;cell type benign neoplasm;positive regitine blocking test;Hypertension associated with pheochromocytoma;MAX;154950;14q23.3
phaeochromocytoma;171300;cell type benign neoplasm;positive regitine blocking test;Hypertension associated with pheochromocytoma;RET, MEN2A, HSCR1;164761;10q11.21
phaeochromocytoma;171300;cell type benign neoplasm;positive regitine blocking test;Hypertension associated with pheochromocytoma;SDHB, SDH2, SDHIP, PGL4, CWS2;185470;1p36.13
phaeochromocytoma;171300;cell type benign neoplasm;positive regitine blocking test;Hypertension associated with pheochromocytoma;SDHD, PGL1, CWS3;602690;11q23.1
phaeochromocytoma;171300;cell type benign neoplasm;positive regitine blocking test;Hypertension associated with pheochromocytoma;TMEM127;613403;2q11.2
phaeochromocytoma;171300;cell type benign neoplasm;positive regitine blocking test;Hypertension associated with pheochromocytoma;VHL;608537;3p25.3
phenylketonuria;261600;amino acid metabolic disorder;maternal hyperphenylalaninemia;Abnormality of phenylalanine metabolism;PAH, PKU1;612349;12q23.2
photosensitive trichothiodystrophy;601675;autosomal dominant disease;lack of subcutaneous fatty tissue;Adipose tissue loss;ERCC2, EM9, XPD, COFS2;126340;19q13.32
photosensitive trichothiodystrophy;601675;autosomal dominant disease;lack of subcutaneous fatty tissue;Adipose tissue loss;ERCC3, XPB;133510;2q14.3
photosensitive trichothiodystrophy;601675;autosomal dominant disease;lack of subcutaneous fatty tissue;Adipose tissue loss;GTF2H5, TTDA, TFB5, C6orf175;608780;6q25.3
piebaldism;172800;autosomal dominant disease;cognitive impairment;Abnormality of higher mental function;KIT, PBT;164920;4q12
piebaldism;172800;autosomal dominant disease;cognitive impairment;Abnormality of higher mental function;SNAI2, SLUG, WS2D;602150;8q11.21
pilomatrixoma;132600;hair follicle neoplasm;neoplasm of the skin;Neoplasm by anatomical site;CTNNB1, MRD19;116806;3p22.1
pilomatrixoma;132600;hair follicle neoplasm;neoplasm of the skin;Neoplasm by anatomical site;MUTYH, MYH;604933;1p34.1
pityriasis rubra pilaris;173200;psoriasis;pustule;Inflammatory abnormality of the skin;CARD14, CARMA2, BIMP2, PSORS2, PSS1, PRP;607211;17q25.3
pleomorphic adenoma;181030;gastrointestinal system benign neoplasm;neoplasm;Phenotypic abnormality;PLAG1, SGPA, PSA;603026;8q12.1
pleuropulmonary blastoma;601200;pulmonary blastoma;pleuropulmonary blastoma;Neoplasm of the tracheobronchial system;DICER1, HERNA, KIAA0928, MNG1, RMSE2;606241;14q32.13
polycystic kidney disease;173900;;cerebral aneurysm;Abnormality of cerebral artery;PKD1;601313;16p13.3
polycystic kidney disease;173900;autosomal dominant disease;cerebral aneurysm;Abnormality of cerebral artery;PKD1;601313;16p13.3
polycystic kidney disease;263200;autosomal dominant disease;hypoplasia of the ear cartilage;Abnormality of the pinna;FCYT, PKHD1, ARPKD;606702;6p12.3-p12.2
polycystic kidney disease;613095;autosomal dominant disease;polycystic kidney dysplasia;Renal cyst;PKD2;173910;4q22.1
polycystic liver disease;174050;;feeding difficulties in infancy;Feeding difficulties;PRKCSH, G19P1, PCLD;177060;19p13.2
polycystic liver disease;174050;;feeding difficulties in infancy;Feeding difficulties;SEC63;608648;6q21
polycystic liver disease;174050;autosomal dominant disease;feeding difficulties in infancy;Feeding difficulties;PRKCSH, G19P1, PCLD;177060;19p13.2
polycystic liver disease;174050;autosomal dominant disease;feeding difficulties in infancy;Feeding difficulties;SEC63;608648;6q21
polycythemia vera;263300;polycythemia;increased megakaryocyte count;Abnormality of cells of the megakaryocyte lineage;JAK2, THCYT3;147796;9p24.1
polydactyly;174200;physical disorder;postaxial hand polydactyly;Postaxial polydactyly;GLI3, PAPA, PAPB;165240;7p14.1
polydactyly;174500;physical disorder;duplication of phalanx of hallux;Duplication of phalanx of toe;LMBR1, ACHP, C7orf2, PPD2, THYP, LSS;605522;7q36.3
polydactyly;174700;physical disorder;preaxial polydactyly;Polydactyly;GLI3, PAPA, PAPB;165240;7p14.1
pontocerebellar hypoplasia type 10;615803;pontocerebellar hypoplasia;delayed myelination;Abnormal myelination;CLP1, HEAB, PCH10;608757;11q12.1
pontocerebellar hypoplasia type 1A;607596;pontocerebellar hypoplasia;neuronal loss in basal ganglia;Abnormality of the basal ganglia;VRK1, PCH1A;602168;14q32.2
pontocerebellar hypoplasia type 1B;614678;pontocerebellar hypoplasia;tongue atrophy;Abnormality of the tongue;EXOSC3, RRP40, PCH1B;606489;9p13.2
pontocerebellar hypoplasia type 2A;277470;pontocerebellar hypoplasia;hypoplasia of the pons;Abnormality of the pons;TSEN54, SEN54, PCH2A, PCH4, PCH5;608755;17q25.1
pontocerebellar hypoplasia type 2B;612389;pontocerebellar hypoplasia;extrapyramidal dyskinesia;Dyskinesia;TSEN2, SEN2, PCH2B;608753;3p25.2
pontocerebellar hypoplasia type 2C;612390;pontocerebellar hypoplasia;cerebellar hemisphere hypoplasia;Cerebellar hypoplasia;TSEN34, PCH2C, LENG5, SEN34;608754;19q13.42
pontocerebellar hypoplasia type 2D;613811;pontocerebellar hypoplasia;delayed myelination;Abnormal myelination;SEPSECS, SLA, LP, PCH2D;613009;4p15.2
pontocerebellar hypoplasia type 2E;615851;pontocerebellar hypoplasia;short stature;Growth delay;VPS53, HCCS1, PCH2E;615850;17p13.3
pontocerebellar hypoplasia type 4;225753;pontocerebellar hypoplasia;hypoplasia of the pons;Abnormality of the pons;TSEN54, SEN54, PCH2A, PCH4, PCH5;608755;17q25.1
pontocerebellar hypoplasia type 5;610204;pontocerebellar hypoplasia;olivopontocerebellar hypoplasia;Hypoplasia of the pons;TSEN54, SEN54, PCH2A, PCH4, PCH5;608755;17q25.1
pontocerebellar hypoplasia type 6;611523;pontocerebellar hypoplasia;upper limb spasticity;Spasticity;RARS2, RARSL, PCH6;611524;6q15
pontocerebellar hypoplasia type 8;614961;pontocerebellar hypoplasia;cortical visual impairment;Visual impairment;CHMP1A, PCOLN3, PRSM1, PCH8;164010;16q24.3
pontocerebellar hypoplasia type 9;615809;pontocerebellar hypoplasia;cortical visual impairment;Visual impairment;AMPD2, SPG63, PCH9;102771;1p13.3
popliteal pterygium syndrome;119500;syndrome;cognitive impairment;Abnormality of higher mental function;IRF6, VWS, LPS, PIT, PPS1, OFC6;607199;1q32.2
popliteal pterygium syndrome;263650;syndrome;aplasia/hypoplasia of the eyebrow;Abnormality of the eyebrow;RIPK4, NKRD3, DIK, PPS2;605706;21q22.3
porencephaly;175780;brain disease;schizencephaly;Abnormality of the cerebrum;COL4A1, POREN1, HANAC, ICH, BSVD;120130;13q34
porencephaly;614483;brain disease;incomplete penetrance;Phenotypic variability;COL4A2, POREN2, ICH;120090;13q34
porphyria cutanea tarda;176100;acute porphyria;scleroderma;Thickened skin;HFE, HLA-H, HFE1, MVCD7, TFQTL2;613609;6p22.2
porphyria cutanea tarda;176100;acute porphyria;scleroderma;Thickened skin;UROD;613521;1p34.1
port-wine stain;163000;;skin ulcer;Localized skin lesion;GNAQ, SWS, CMC1;600998;9q21.2
posterior polar cataract;116600;cataract;total cataract;Cataract;EPHA2, ECK, ARCC2, CTPP1, CTPA, ARCC2, CTRCT6;176946;1p36.13
posterior polar cataract;605387;cataract;posterior subcapsular cataract;Subcapsular cataract;CHMP4B, SNF7, CTPP3, CTRCT31;610897;20q11.22
posterior polar cataract;610623;cataract;cataract;Abnormality of the lens;PITX3, CTPP4, CTRCT11;602669;10q24.32
posterior polar cataract;613763;cataract;posterior polar cataract;Polar cataract;CRYAB, CRYA2, CTPP2, CMD1II, CTRCT16, MFM2;123590;11q23.1
pre-eclampsia;189800;hypertension;preeclampsia;Toxemia of pregnancy;EPHX1;132810;1q42.12
pre-eclampsia;189800;hypertension;preeclampsia;Toxemia of pregnancy;NOS3;163729;7q36.1
pre-eclampsia;609404;hypertension;preeclampsia;Toxemia of pregnancy;STOX1, PEE4;609397;10q21.3-q22.1
pre-eclampsia;614592;hypertension;midface retrusion;Abnormality of the midface;FGFR2, BEK, CFD1, JWS, TK14, BBDS;176943;10q26.13
premature ovarian failure;300510;ovarian disease;gonadal hypoplasia;Abnormal internal genitalia;BMP15, GDF9B, ODG2, POF4;300247;Xp11.22
premature ovarian failure;300511;ovarian disease;premature ovarian failure;Abnormality of the ovary;DIAPH2, DIA, POF2;300108;Xq21.33
premature ovarian failure;300604;ovarian disease;premature ovarian failure;Abnormality of the ovary;FLJ22792, POF1B, POF2B;300603;Xq21.1-q21.2
premature ovarian failure;311360;ovarian disease;premature ovarian failure;Abnormality of the ovary;FMR1, FRAXA, POF1;309550;Xq27.3
premature ovarian failure;608996;ovarian disease;premature ovarian failure;Abnormality of the ovary;FOXL2, BPES, BPES1, PFRK, POF3;605597;3q22.3
premature ovarian failure;611548;ovarian disease;premature ovarian failure;Abnormality of the ovary;NOBOX, POF5;610934;7q35
premature ovarian failure;612310;ovarian disease;premature ovarian failure;Abnormality of the ovary;FIGLA, POF6;608697;2p13.3
premature ovarian failure;612964;ovarian disease;premature ovarian failure;Abnormality of the ovary;NR5A1, FTZF1, FTZ1, SF1, AD4BP, POF7, SRXY3, SPGF8;184757;9q33.3
premature ovarian failure;615723;ovarian disease;premature ovarian failure;Abnormality of the ovary;STAG3, POF8;608489;7q22.1
premature ovarian failure;615724;ovarian disease;premature ovarian failure;Abnormality of the ovary;HFM1, MER3, POF9;615684;1p22.2
primary ciliary dyskinesia;244400;autosomal recessive disease;nasal polyposis;Abnormality of the nasal mucosa;DNAI1, CILD1, ICS, PCD;604366;9p13.3
primary ciliary dyskinesia;606763;autosomal recessive disease;nasal polyposis;Abnormality of the nasal mucosa;DNAAF3, PF22, DAB1, CILD2;614566;19q13.42
primary ciliary dyskinesia;608644;autosomal recessive disease;ciliary dyskinesia;Abnormal ciliary motility;DNAH5, HL1, PCD, CILD3;603335;5p15.2
primary ciliary dyskinesia;608647;autosomal recessive disease;respiratory insufficiency due to defective ciliary clearance;Abnormal respiratory motile cilium physiology;HYDIN, HYDIN1, CILD5;610812;16q22.2
primary ciliary dyskinesia;610852;autosomal recessive disease;absent/shortened outer dynein arms;Shortened outer dynein arms;NME8, TXNDC3, SPTRX2, CILD6;607421;7p14.1
primary ciliary dyskinesia;611884;autosomal recessive disease;ciliary dyskinesia;Abnormal ciliary motility;DNAH11, DNAHC11, CILD7, DNAHBL;603339;7p15.3
primary ciliary dyskinesia;612444;autosomal recessive disease;ciliary dyskinesia;Abnormal ciliary motility;DNAI2, CILD9;605483;17q25.1
primary ciliary dyskinesia;612518;autosomal recessive disease;ciliary dyskinesia;Abnormal ciliary motility;KTU, C14orf104, CILD10;612517;14q21.3
primary ciliary dyskinesia;612649;autosomal recessive disease;ciliary dyskinesia;Abnormal ciliary motility;RSPH4A, CILD11;612647;6q22.1
primary ciliary dyskinesia;612650;autosomal recessive disease;ciliary dyskinesia;Abnormal ciliary motility;RSPH9, CILD12;612648;6p21.1
primary ciliary dyskinesia;613193;autosomal recessive disease;ciliary dyskinesia;Abnormal ciliary motility;LRRC50, ODA7, CILD13;613190;16q23.3-q24.1
primary ciliary dyskinesia;613807;autosomal recessive disease;ciliary dyskinesia;Abnormal ciliary motility;CCDC39;613798;3q26.33
primary ciliary dyskinesia;613808;autosomal recessive disease;ciliary dyskinesia;Abnormal ciliary motility;CCDC40, KIAA1640;613799;17q25.3
primary ciliary dyskinesia;614017;autosomal recessive disease;ciliary dyskinesia;Abnormal ciliary motility;DNAL1, C14orf168, CILD16;610062;14q24.3
primary ciliary dyskinesia;614679;autosomal recessive disease;ciliary dyskinesia;Abnormal ciliary motility;CCDC103, SMH, PR46B, CILD17;614677;17q21.31
primary ciliary dyskinesia;614874;autosomal recessive disease;respiratory insufficiency due to defective ciliary clearance;Abnormal respiratory motile cilium physiology;HEATR2, CILD18;614864;7p22.3
primary ciliary dyskinesia;614935;autosomal recessive disease;respiratory insufficiency due to defective ciliary clearance;Abnormal respiratory motile cilium physiology;LRRC6, LRTP, CILD19;614930;8q24.22
primary ciliary dyskinesia;615067;autosomal recessive disease;respiratory insufficiency due to defective ciliary clearance;Abnormal respiratory motile cilium physiology;CCDC114, CILD20;615038;19q13.33
primary ciliary dyskinesia;615294;autosomal recessive disease;atelectasis;Abnormality of the lung;DRC1, CCDC164, C2orf39, CILD21;615288;2p23.3
primary ciliary dyskinesia;615444;autosomal recessive disease;respiratory insufficiency due to defective ciliary clearance;Abnormal respiratory motile cilium physiology;ZMYND10, BLU;607070;3p21.31
primary ciliary dyskinesia;615451;autosomal recessive disease;respiratory insufficiency due to defective ciliary clearance;Abnormal respiratory motile cilium physiology;ARMC4, CILD23;615408;10p12.1
primary ciliary dyskinesia;615481;autosomal recessive disease;rhinitis;Abnormality of the nose;RSPH1, TSGA2, TSA2, CILD24;609314;21q22.3
primary ciliary dyskinesia;615482;autosomal recessive disease;ciliary dyskinesia;Abnormal ciliary motility;DYX1C1, DYXC1, DYX1, CILD25;608706;15q21.3
primary ciliary dyskinesia;615500;autosomal recessive disease;respiratory insufficiency due to defective ciliary clearance;Abnormal respiratory motile cilium physiology;C21ORF59, CILD26;615494;21q22.11
primary ciliary dyskinesia;615504;autosomal recessive disease;respiratory insufficiency due to defective ciliary clearance;Abnormal respiratory motile cilium physiology;CCDC65, CILD27;611088;12q13.12
primary ciliary dyskinesia;615505;autosomal recessive disease;respiratory insufficiency due to defective ciliary clearance;Abnormal respiratory motile cilium physiology;SPAG1, CILD28;603395;8q22.2
primary ciliary dyskinesia;615872;autosomal recessive disease;atelectasis;Abnormality of the lung;CCNO, UNG2, CILD29;607752;5q11.2
primary congenital glaucoma;613086;glaucoma;primary congenital glaucoma;Congenital glaucoma;LTBP2, LTBP3, GLC3D, MSPKA, WMS3;602091;14q24.3
primary cutaneous amyloidosis;105250;amyloidosis;amyloidosis;Abnormality of metabolism/homeostasis;OSMR, OSMRB, PLCA1;601743;5p13.1
primary cutaneous amyloidosis;613955;amyloidosis;cutaneous amyloidosis;Amyloidosis;IL31RA, GLMR, GPL, PLCA2;609510;5q11.2
primary hyperoxaluria;260000;kidney disease;calcium oxalate nephrolithiasis;Calcium nephrolithiasis;GRHPR, GLXR;604296;9p13.2
primary hyperoxaluria;613616;kidney disease;calcium oxalate nephrolithiasis;Calcium nephrolithiasis;HOGA1, DHDPSL, HP3;613597;10q24.2
primary hypertrophic osteoarthropathy;259100;syndrome;clubbing of toes;Abnormality of the phalanges of the toes;HPGD, PGDH1, PHOAR1;601688;4q34.1
primary open angle glaucoma;137760;open-angle glaucoma;primary open angle glaucoma;Glaucoma;OPTN, GLC1E, FIP2, HYPL, NRP, ALS12;602432;10p13
primary pigmented nodular adrenocortical disease;610475;adrenal cortex disease;onset;Clinical modifier;PDE11A, PDE11A1, PDE11A2, PDE11A3, PPNAD2;604961;2q31.2
primary pigmented nodular adrenocortical disease;610489;adrenal cortex disease;onset;Clinical modifier;PRKAR1A, TSE1, CNC1, CAR, PPNAD1, ACRDYS1;188830;17q24.2
primary pigmented nodular adrenocortical disease;614190;adrenal cortex disease;adrenal hyperplasia;Abnormality of adrenal morphology;PDE8B, PPNAD3, ADSD;603390;5q13.3
primary pigmented nodular adrenocortical disease;615830;adrenal cortex disease;adrenal hyperplasia;Abnormality of adrenal morphology;PRKACA;601639;19p13.12
primary pulmonary hypertension;178600;chronic pulmonary heart disease;arterial intimal fibrosis;Abnormality of the systemic arterial tree;BMPR2, PPH1, POVD1;600799;2q33.1-q33.2
primary pulmonary hypertension;615342;chronic pulmonary heart disease;increased pulmonary vascular resistance;Abnormality of the pulmonary vasculature;MADH9, SMAD9, MADH6, PPH2;603295;13q13.3
primary pulmonary hypertension;615343;chronic pulmonary heart disease;increased pulmonary vascular resistance;Abnormality of the pulmonary vasculature;CAV1, BSCL3, CGL3, PPH3, LCCNS;601047;7q31.2
progeria;176670;autosomal recessive disease;lack of skin elasticity;Abnormal elasticity of skin;LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B;150330;1q22
progressive myoclonus epilepsy;254900;variable age at onset electroclinical syndrome;rapidly progressive;Pace of progression;SCARB2, CD36L2, LIMPII, AMRF, EPM4;602257;4q21.1
progressive myoclonus epilepsy;611726;variable age at onset electroclinical syndrome;progressive disorder;Pace of progression;KCTD7, EPM3, CLN14;611725;7q11.21
progressive myoclonus epilepsy;612437;variable age at onset electroclinical syndrome;atonic seizures;Generalized seizures;PRICKLE1, RILP, EPM1B;608500;12q12
progressive myoclonus epilepsy;613832;variable age at onset electroclinical syndrome;peripheral neuropathy;Abnormal peripheral nervous system morphology;PRICKLE2, EPM5;608501;3p14.1
progressive myoclonus epilepsy;614018;variable age at onset electroclinical syndrome;atonic seizures;Generalized seizures;GOSR2, GS27, EPM6;604027;17q21.32
progressive supranuclear palsy;601104;movement disease;adult onset;Onset;MAPT, MTBT1, DDPAC, MSTD;157140;17q21.31
prolactinoma;600634;functioning pituitary adenoma;pituitary prolactin cell adenoma;Pituitary adenoma;AIP, XAP2, ARA9;605555;11q13.2
propionic acidemia;606054;organic acidemia;cognitive impairment;Abnormality of higher mental function;PCCA;232000;13q32.3
propionic acidemia;606054;organic acidemia;cognitive impairment;Abnormality of higher mental function;PCCB;232050;3q22.3
prostate cancer;176807;male reproductive organ cancer;prostate cancer;Prostate neoplasm;AR, DHTR, TFM, SBMA, KD, SMAX1, HYSP1;313700;Xq12
prostate cancer;176807;male reproductive organ cancer;prostate cancer;Prostate neoplasm;BRCA2, FANCD1, BROVCA2, GLM3, PNCA2;600185;13q13.1
prostate cancer;176807;male reproductive organ cancer;prostate cancer;Prostate neoplasm;CD82, SAR2, KAI1, ST6;600623;11p11.2
prostate cancer;176807;male reproductive organ cancer;prostate cancer;Prostate neoplasm;CDH1, UVO, LCAM, ECAD;192090;16q22.1
prostate cancer;176807;male reproductive organ cancer;prostate cancer;Prostate neoplasm;CHEK2, RAD53, CHK2, CDS1, LFS2;604373;22q12.1
prostate cancer;176807;male reproductive organ cancer;prostate cancer;Prostate neoplasm;HIP1;601767;7q11.23
prostate cancer;176807;male reproductive organ cancer;prostate cancer;Prostate neoplasm;HPC3;608656;20q13
prostate cancer;176807;male reproductive organ cancer;prostate cancer;Prostate neoplasm;HPC4;608658;7p11-q21
prostate cancer;176807;male reproductive organ cancer;prostate cancer;Prostate neoplasm;HPC5;609299;3p26
prostate cancer;176807;male reproductive organ cancer;prostate cancer;Prostate neoplasm;HPC6;609558;22q12.3
prostate cancer;176807;male reproductive organ cancer;prostate cancer;Prostate neoplasm;HPCQTL19;607592;19q
prostate cancer;176807;male reproductive organ cancer;prostate cancer;Prostate neoplasm;KLF6, COPEB, BCD1, ZF9;602053;10p15.1
prostate cancer;176807;male reproductive organ cancer;prostate cancer;Prostate neoplasm;MAD1L1, TXBP181;602686;7p22.3
prostate cancer;176807;male reproductive organ cancer;prostate cancer;Prostate neoplasm;MSR1, SCARA1, SRA;153622;8p22
prostate cancer;176807;male reproductive organ cancer;prostate cancer;Prostate neoplasm;MXI1;600020;10q25.2
prostate cancer;176807;male reproductive organ cancer;prostate cancer;Prostate neoplasm;PCAP;602759;1q42.2-q43
prostate cancer;176807;male reproductive organ cancer;prostate cancer;Prostate neoplasm;PTEN, MMAC1, GLM2, CWS1;601728;10q23.31
prostate cancer;176807;male reproductive organ cancer;prostate cancer;Prostate neoplasm;ZFHX3, ATBF1;104155;16q22.2-q22.3
prostate cancer;601518;male reproductive organ cancer;prostate cancer;Prostate neoplasm;RNASEL, RNS4, PRCA1, HPC1;180435;1q25.3
prothrombin deficiency;613679;autosomal recessive disease;reduced prothrombin activity;Abnormality of prothrombin;F2, THPH1, RPRGL2;176930;11p11.2
proximal symphalangism;185800;autosomal dominant disease;aplasia/hypoplasia of the middle phalanges of the toes;Abnormality of the middle phalanges of the toes;NOG, SYM1, SYNS1;602991;17q22
pseudo-TORCH syndrome;251290;autosomal recessive disease;abnormality of movement;Abnormality of nervous system physiology;OCLN, BLCPMG;602876;5q13.2
pseudoachondroplasia;177170;osteochondrodysplasia;fragmented epiphyses;Abnormality of the epiphyses;COMP, EDM1, MED, PSACH;600310;19p13.11
pseudohypoparathyroidism;603233;metal metabolism disorder;short metacarpal;Aplasia/Hypoplasia involving the metacarpal bones;GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO, PHP1C;139320;20q13.32
pseudohypoparathyroidism;603233;metal metabolism disorder;short metacarpal;Aplasia/Hypoplasia involving the metacarpal bones;GNASAS1, GNASAS, SANG, NESPAS;610540;20q13.32
pseudohypoparathyroidism;603233;metal metabolism disorder;short metacarpal;Aplasia/Hypoplasia involving the metacarpal bones;STX16, SYN16;603666;20q13.32
pseudohypoparathyroidism;612462;metal metabolism disorder;cognitive impairment;Abnormality of higher mental function;GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO, PHP1C;139320;20q13.32
pseudopseudohypoparathyroidism;612463;pseudohypoparathyroidism;cognitive impairment;Abnormality of higher mental function;GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO, PHP1C;139320;20q13.32
pseudoxanthoma elasticum;177850;autosomal recessive disease;calcification of falx cerebri;Abnormality of the falx cerebri;ABCC6, ARA, ABC34, MLP1, PXE, GACI2;603234;16p13.11
pseudoxanthoma elasticum;264800;autosomal recessive disease;renovascular hypertension;Abnormal renal physiology;ABCC6, ARA, ABC34, MLP1, PXE, GACI2;603234;16p13.11
pseudoxanthoma elasticum;264800;autosomal recessive disease;renovascular hypertension;Abnormal renal physiology;XYLT1, XT1, DBQD2;608124;16p12.3
pseudoxanthoma elasticum;264800;autosomal recessive disease;renovascular hypertension;Abnormal renal physiology;XYLT2, XT2;608125;17q21.33
psoriasis;177900;skin disease;psoriasis;Inflammatory abnormality of the skin;HLA-C, PSORS1;142840;6p21.33
pulmonary alveolar microlithiasis;265100;lung disease;progressive pulmonary function impairment;Decreased pulmonary function;SLC34A2;604217;4p15.2
pulmonary alveolar proteinosis;265120;lung disease;interstitial pulmonary disease;Abnormality of the lung;SFTPB, SFTB3, SMDP1;178640;2p11.2
pulmonary alveolar proteinosis;300770;lung disease;alveolar proteinosis;Abnormality of the lung;CSF2RA, SMDP4;306250;Xp22.33
pulmonary alveolar proteinosis;610913;lung disease;alveolar proteinosis;Abnormality of the lung;SFTPC, SFTP2, SMDP2;178620;8p21.3
pulmonary alveolar proteinosis;610921;lung disease;alveolar proteinosis;Abnormality of the lung;ABCA3, ABC3, SMDP3;601615;16p13.3
pulmonary alveolar proteinosis;614370;lung disease;alveolar proteinosis;Abnormality of the lung;CSF2RB, SMDP5;138981;22q12.3
pulmonary venoocclusive disease;265450;pulmonary hypertension;pulmonary venoocclusive disease;Abnormality of the lung;BMPR2, PPH1, POVD1;600799;2q33.1-q33.2
purine nucleoside phosphorylase deficiency;613179;combined T cell and B cell immunodeficiency;markedly reduced t cell function;Impaired T cell function;PNP, NP;164050;14q11.2
pyridoxine-refractory autosomal recessive sideroblastic anemia;205950;sideroblastic anemia;infantile onset;Onset;GLRX5, C14orf87, PRO1238, FLB4739, PRSA;609588;14q32.13
pyridoxine-refractory autosomal recessive sideroblastic anemia;205950;sideroblastic anemia;infantile onset;Onset;SLC25A38;610819;3p22.1
pyruvate carboxylase deficiency disease;266150;carbohydrate metabolic disorder;neuronal loss in the cerebral cortex;Abnormality of the cerebral cortex;PC;608786;11q13.2
pyruvate decarboxylase deficiency;245348;carbohydrate metabolic disorder;jerky head movements;Abnormal head movements;DLAT, PDCE2;608770;11q23.1
pyruvate decarboxylase deficiency;245349;carbohydrate metabolic disorder;poor gross motor coordination;Poor motor coordination;PDX1;608769;11p13
pyruvate decarboxylase deficiency;312170;carbohydrate metabolic disorder;basal ganglia cysts;Intracranial cystic lesion;PDHA1, PHE1A, PDHAD;300502;Xp22.12
pyruvate decarboxylase deficiency;608782;carbohydrate metabolic disorder;infantile onset;Onset;PDP1, PPM2C, PDP1, PDPC;605993;8q22.1
pyruvate decarboxylase deficiency;614111;carbohydrate metabolic disorder;lactic acidosis;Acidosis;PDHB, PDHBD;179060;3p14.3
rapadilino syndrome;266280;autosomal recessive disease;sarcoma;Neoplasm by histology;RECQL4, RTS, RECQ4;603780;8q24.3
red-green color blindness;303800;color blindness;deuteranomoly;Anomalous trichromacy;OPN1MW, GCP, CBD, CBBM;300821;Xq28
renal agenesis;191830;kidney disease;congenital onset;Onset;ITGA8, RHDA1;604063;10p13
renal agenesis;191830;kidney disease;congenital onset;Onset;PAX2, PAPRS, FSGS7;167409;10q24.31
renal agenesis;191830;kidney disease;congenital onset;Onset;RET, MEN2A, HSCR1;164761;10q11.21
renal cell carcinoma;300854;renal carcinoma;renal cell carcinoma;Renal neoplasm;TFE3, RCCX1;314310;Xp11.23
renal glycosuria;233100;renal tubular transport disease;enuresis nocturna;Enuresis;SLC5A2, SGLT2;182381;16p11.2
renal tubular acidosis;602722;renal tubular transport disease;bilateral sensorineural hearing impairment;Sensorineural hearing impairment;ATP6V0A4, ATP6N1B, VPP2, RTA1C, RTADR;605239;7q34
renal-hepatic-pancreatic dysplasia;208540;physical disorder;pancreatic fibrosis;Abnormality of pancreas morphology;NPHP3, NPH3, RHPD1, MKS7;608002;3q22.1
renal-hepatic-pancreatic dysplasia;615415;physical disorder;stillbirth;Time of death;NEK8, JCK, NPHP9, RHPD2;609799;17q11.2
restrictive cardiomyopathy;115210;intrinsic cardiomyopathy;ventriculomegaly;Abnormality of the cerebral ventricles;TNNI3, CMH7, CMD2A, RCM1, CMD1FF;191044;19q13.42
restrictive cardiomyopathy;612422;intrinsic cardiomyopathy;cardiomyopathy;Abnormality of the myocardium;TNNT2, CMH2, CMD1D, RCM3, LVNC6;191045;1q32.1
reticular dysgenesis;267500;severe combined immunodeficiency;skin ulcer;Localized skin lesion;AK2;103020;1p35.1
reticulate acropigmentation of Kitamura;615537;pigmentation disease;autosomal dominant inheritance;Mode of inheritance;ADAM10, MADM, RAK, AD18;602192;15q21.3
retinal drusen;126700;degeneration of macula and posterior pole;progressive visual loss;Visual loss;HF1, CFH, HUS, ARMD4, AHUS1;134370;1q31.3
retinitis pigmentosa;120970;retinal degeneration;peripheral visual field loss;Visual field defect;CRX, CORD2, CRD, LCA7;602225;19q13.33
retinitis pigmentosa;180100;retinal degeneration;bony spicule pigmentary retinopathy;Pigmentary retinopathy;RP1, ORP1;603937;8q12.1
